Ref #,State,Organization,Date,Fact-Check URL,Author,Title,Paywall — Wayback Machine Link,TV Alternate/Duplicate Link,Notes,Claimant Name // (Claim Source?),Type of Claimant,Political Designation,Party Affiliation,Current Officeholder?,Current Position,Running for Office?,Aspiring Position,Topic,Source of Statement,Fact-Check Format,Was a Definitive Rating Given?,Multiple claims?,DELETE,INDIVIDUAL RECORD,ECONOMIC ISSUES,GOVERNMENT OPERATIONS,VOTING/ELECTIONS,CIVIL RIGHTS MINORITY ISSUES AND CIVIL LIBERTIES,IMMIGRATION AND REFUGEE ISSUES,LGBTQ,RACE,RELIGION,SOCIAL WELFARE,EDUCATION,ABORTION/WOMEN,HEALTH,LAW AND CRIME AND POLICING,GUNS,HISTORY,LEGISLATION,AGRICULTURE,ENERGY AND ENVIRONMENT,COMMUNITY DEVELOPMENT AND HOUSING,TECHNOLOGY SCIENCE SPACE,MEDIA AND COMMUNICATIONS
21,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/18/2022,https://repustar.com/fact-briefs/did-us-sen-mark-kelly-vote-to-send-stimulus-checks-to-immigrants-living-in-the-country-illegally,Jordan Gerard,Did Mark Kelly vote to send stimulus checks to immigrants living in the country without legal permission?,,,,Ann Coulter,Nonpolitical,,,,,,,"Immigration and Refugee issues, Individual Record, Economic Issues",Social Media,Article,Yes,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/18/2022,https://repustar.com/fact-briefs/did-kari-lake-endorse-secession,Ngan Nguyen,Did Kari Lake endorse secession?,,,,Unknown social media user(s),Nonpolitical,,,,,,,Individual Record,Social Media,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/18/2022,https://repustar.com/fact-briefs/did-kris-mayes-say-she-wont-do-anything-about-border-security-if-elected,Ngan Nguyen,Did Kris Mayes say she won't do anything about border security if elected?,,,,Republican Attorney Generals Association,Political,Political organization,Republican,,,,,"Individual Record, Law and Crime and Policing, Immigration and Refugee Issues",Advertisement,Article,Yes,,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/19/2022,https://repustar.com/fact-briefs/are-skyrocketing-housing-costs-a-key-driver-of-inflation-in-arizona,Ngan Nguyen,Are rising housing costs a key driver of inflation in Arizona?,,,,Katie Hobbs,Political,Politician,Democratic,Yes,State Secretary of State,Yes,Governor,Economic Issues,Interview/TV Appearance,Article,Yes,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/20/2022,https://repustar.com/fact-briefs/did-katie-hobbs-say-that-as-many-as-6000-voters-may-have-been-incorrectly-mailed-federal-only-ballots,Austin Tannenbaum,Were some Arizona voters incorrectly sent mail-in ballots with only federal elections on them?,,,,Republican Party of Arizona,Political,Political organization,Republican,,,,,"Voting/Elections, Individual Record",Social Media,Article,Yes,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/20/2022,https://repustar.com/fact-briefs/did-us-senate-candidate-blake-masters-of-arizona-flip-flop-on-the-legitimacy-of-2020-presidential-election-results,Jordan Gerard,Did U.S. Senate candidate Blake Masters of Arizona flip-flop on the legitimacy of 2020 presidential election results?,,,,Sam Stein,Nonpolitical,,,,,,,Individual Record,Social Media,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/20/2022,https://repustar.com/fact-briefs/was-a-candidate-for-maricopa-community-college-district-governing-board-arrested-for-public-masturbation,Austin Tannenbaum,Was a candidate for Maricopa Community College District Governing Board arrested for alleged sexual indecency?,,,,Jon Cooper,Political,No official role,Democratic,,,,,"Individual Record, Law and Crime and Policing",Social Media,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/20/2022,https://repustar.com/fact-briefs/did-blake-masters-say-he-wants-fire-any-military-officer-who-doesnt-agree-him-politically,Ngan Nguyen,Did Blake Masters say he wants to fire any military officer who doesn't agree with him politically?,,,,The Lincoln Project,Political,Political organization,Republican,,,,,Individual Record,Advertisement,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/21/2022,https://repustar.com/fact-briefs/has-arizona-gubernatorial-candidate-kari-lake-said-she-opposes-all-vaccines,Ngan Nguyen,Has Arizona gubernatorial candidate Kari Lake said she opposes all vaccines?,,,,Unknown social media user(s),Nonpolitical,,,,,,,"Individual Record, Health",Social Media,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/24/2022,https://repustar.com/fact-briefs/does-arizona-require-public-input-before-the-state-can-add-a-vaccine-to-the-school-immunization-list,Ngan Nguyen,Does Arizona require public input before a vaccine can be added to the required school immunization list?,,,,Unknown social media user(s),Nonpolitical,,,,,,,"Health, Legislation",Social Media,Article,Yes,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
31,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/24/2022,https://repustar.com/fact-briefs/does-arizona-secretary-of-state-katie-hobbs-have-spotty-office-attendance,Ngan Nguyen,Does Arizona Secretary of State Katie Hobbs have spotty office attendance?,,,,Kari Lake,Political,Politician,Republican,No,,Yes,Governor,Individual Record,Social Media,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/24/2022,https://repustar.com/fact-briefs/have-there-been-reports-of-voter-intimidation-at-arizona-ballot-drop-off-boxes,Austin Tannenbaum,Have there been reports of voter intimidation at Arizona ballot drop-off boxes?,,,,Marc Elias,Nonpolitical,,,,,,,Voting/Elections,Social Media,Article,Yes,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/25/2022,https://repustar.com/fact-briefs/are-there-more-democratic-voters-than-republican-voters-registered-in-arizona,Austin Tannenbaum,Are there more Democratic voters than Republican voters in Arizona?,,,,Unknown social media user(s),Nonpolitical,,,,,,,Voting/Elections,Social Media,Article,Yes,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/26/2022,https://repustar.com/fact-briefs/has-katie-hobbs-said-she-supports-mandating-the-covid-19-in-arizona-schools,Austin Tannenbaum,Has Katie Hobbs said she supports mandating the COVID-19 vaccine in Arizona public schools?,,,,iVoteArizona,Political,Political organization,Republican,,,,,"Health, Education",Social Media,Article,Yes,,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
35,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/27/2022,https://gigafact.org/fact-briefs/does-kari-lake-want-to-put-body-cameras-on-arizona-teachers,Austin Tannenbaum,Does Kari Lake want to put body cameras on Arizona teachers?,,,,Save Our Teachers AZ,Political,Political organization,Progressive,,,,,Education,Social Media,Article,Yes,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/27/2022,https://gigafact.org/fact-briefs/could-attempting-a-full-hand-count-of-ballots-put-arizona-counties-at-risk-of-legal-action,Jordan Gerard,"Does Cochise County, Arizona have explicit legal authority to hand count all the ballots it receives in the 2022 election?",,,,Unknown social media user(s),Nonpolitical,,,,,,,Voting/Elections,Social Media,Article,Yes,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/27/2022,https://gigafact.org/fact-briefs/are-broadcast-stations-required-to-pull-false-or-misleading-political-ads,Jordan Gerard,Are broadcast stations required to pull false or misleading political ads?,,,,Unknown social media user(s),Nonpolitical,,,,,,,Voting/Elections,Social Media,Article,Yes,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/27/2022,https://gigafact.org/fact-briefs/was-a-former-employee-of-katie-hobbs-awarded-damages-for-racial-and-gender-discrimination-1,Austin Tannenbaum,Was a former employee of Katie Hobbs awarded damages for racial and gender discrimination?,,,,Kari Lake,Political,Politician,Republican,No,,Yes,Governor,"Race, Government Operations, Individual Record",Social Media,Article,Yes,,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/28/2022,https://gigafact.org/fact-briefs/did-arizona-candidates-kari-lake-and-mark-finchem-sue-to-end-voting-by-mail-in-arizona,Ngan Nguyen,Did Arizona candidates Kari Lake and Mark Finchem sue to end voting by mail in Arizona?,,,,Barry Markson,Nonpolitical,,,,,,,"Individual Record, Voting/Elections",Social Media,Article,Yes,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/29/2022,https://gigafact.org/fact-briefs/did-arizona-gubernatorial-candidate-katie-hobbs-co-sponsor-a-bill-to-start-age-appropriate-sex-education-in-kindergarten,Jordan Gerard,Did Katie Hobbs co-sponsor a bill to start age-appropriate sex education in kindergarten?,,,,Kari Lake,Political,Politician,Republican,No,,Yes,Governor,"Individual Record, Education, Legislation",Interview/TV Appearance,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
41,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/29/2022,https://gigafact.org/fact-briefs/did-katie-hobbs-say-its-ridiculous-to-focus-on-the-border,Ngan Nguyen,Did Katie Hobbs say 'it’s ridiculous to focus on the border'?,,,,Kari Lake,Political,Politician,Republican,No,,Yes,Governor,"Individual Record, Immigration and Refugee Issues, Legislation",Interview/TV Appearance,Article,Yes,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/29/2022,https://gigafact.org/fact-briefs/have-election-officials-faced-death-threats-in-arizona,Ngan Nguyen,Have Arizona election officials faced death threats?,,,,Nicole Grigg,Nonpolitical,,,,,,,"Voting/Elections, Law and Crime and Policing",Social Media,Article,Yes,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,Arizona,Arizona Center for Investigative Reporting (Gigafact),10/29/2022,https://gigafact.org/fact-briefs/do-most-arizona-voters-routinely-use-early-voting-in-each-election,Austin Tannenbaum,Do most Arizonans use early voting in elections?,,,,Katie Hobbs,Political,Politician,Democratic,No,,Yes,Governor,"Voting/Elections, Individual Record",Social Media,Article,Yes,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Arizona,Arizona Center for Investigative Reporting (Gigafact),11/1/2022,https://gigafact.org/fact-briefs/are-hispanics-and-latinos-leaving-the-democratic-party-in-arizona,Austin Tannenbaum,Are Hispanics and Latinos leaving the Democratic Party in Arizona?,,,,Unknown social media user(s),Nonpolitical,,,,,,,"Race, Individual Record",Social Media,Article,Yes,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Arizona,Arizona Center for Investigative Reporting (Gigafact),11/1/2022,https://gigafact.org/fact-briefs/do-arizona-counties-provide-live-video-feeds-of-ballots-being-tabulated,Jordan Gerard,Do Arizona counties provide live video feeds of ballots being tabulated?,,,,Unknown social media user(s),Nonpolitical,,,,,,,Voting/Elections,Social Media,Article,Yes,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Arizona,Arizona Center for Investigative Reporting (Gigafact),11/1/2022,https://gigafact.org/fact-briefs/are-people-allowed-to-monitor-voting-drop-boxes,Ngan Nguyen,Are people allowed to monitor voting drop boxes in Arizona?,,,,Unknown social media user(s),Nonpolitical,,,,,,,Voting/Elections,Social Media,Article,Yes,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Arizona,Arizona Center for Investigative Reporting (Gigafact),11/1/2022,https://gigafact.org/fact-briefs/did-the-associated-press-air-the-final-results-of-the-2022-arizona-governors-well-before-the-election,Austin Tannenbaum,Did the Associated Press air the 'final results' of the 2022 Arizona governor's race before the election?,,,,Unknown social media user(s),Nonpolitical,,,,,,,"Voting/Elections, Media and Communications",Social Media,Article,Yes,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,Arizona,Arizona Center for Investigative Reporting (Gigafact),11/2/2022,https://gigafact.org/fact-briefs/does-proposition-132-require-arizona-ballot-initiatives-to-have-a-supermajority-of-public-support-to-raise-taxes,Ngan Nguyen,Does Proposition 132 require Arizona ballot initiatives to have a supermajority of public support to raise taxes?,,,,Kari Lake,Political,Politician,Republican,No,,Yes,Governor,"Legislation, Economic Issues",Advertisement,Article,Yes,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,Arizona,Arizona Center for Investigative Reporting (Gigafact),11/2/2022,https://gigafact.org/fact-briefs/did-blake-masters-soften-his-opposition-to-abortion,Austin Tannenbaum,Did Blake Masters soften his stance against abortion?,,,,Unknown social media user(s),Nonpolitical,,,,,,,"Individual Record, Abortion/Women",Social Media,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,Arizona,Arizona Center for Investigative Reporting (Gigafact),11/3/2022,https://gigafact.org/fact-briefs/will-proposition-128-give-the-arizona-legislature-power-to-amend-a-voter-approved-ballot-initiative-if-courts-first-intervene,Ngan Nguyen,Would Proposition 128 give the Arizona Legislature power to rewrite ballot initiatives struck down by certain courts?,,,,Activate 48,Political,Political organization,Progressive,,,,,"Legislation, Voting/Elections, Government Operations",Social Media,Article,Yes,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,Arizona,Arizona Center for Investigative Reporting (Gigafact),11/3/2022,https://gigafact.org/fact-briefs/will-proposition-129-limit-arizona-ballot-initiatives-to-address-a-single-subject,Ngan Nguyen,Would Proposition 129 limit Arizona ballot initiatives to a single subject?,,,,Unknown social media user(s),Nonpolitical,,,,,,,"Legislation, Voting/Elections, Government Operations",Social Media,Article,Yes,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,Arizona,Arizona Center for Investigative Reporting (Gigafact),11/3/2022,https://gigafact.org/fact-briefs/was-katie-hobbs-required-to-resign-from-her-position-as-secretary-of-state-before-running-for-governor,Jordan Gerard,Was Katie Hobbs required to resign from her position as Secretary of State before running for governor?,,,,Unknown social media user(s),Nonpolitical,,,,,,,"Individual Record, Government Operations",Social Media,Article,Yes,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Arizona,Arizona Center for Investigative Reporting (Gigafact),11/3/2022,https://gigafact.org/fact-briefs/has-abe-hamadeh-suggested-he-would-enforce-a-near-total-abortion-ban-in-arizona,Austin Tannenbaum,Has Abe Hamadeh suggested he would enforce a near-total abortion ban in Arizona?,,,,Kris Mayes,Political,Politician,Democratic,No,,Yes,State Attorney General,"Individual Record, Abortion/Women",Speech/Remarks,Article,Yes,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,Arizona,Arizona Center for Investigative Reporting (Gigafact),11/3/2022,https://gigafact.org/fact-briefs/is-election-monitoring-part-of-the-arizona-corporation-commissions-job-description,Jordan Gerard,Is election monitoring part of the Arizona Corporation Commission’s job description?,,,"Doesn't seem like it's in response to a specific claim -> more in response to actions by the Corporation Commission // Since the ethics complaint from Hobbs' office included this claim, I think we can attribute that to her (ER)",Katie Hobbs,Political,Politician,Democratic,Yes,State Secretary of State,Yes,Governor,"Voting/Elections, Government Operations",Written Statement,Article,Yes,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Arizona,Arizona Center for Investigative Reporting (Gigafact),11/4/2022,https://gigafact.org/fact-briefs/did-the-arizona-election-audit-cost-taxpayers-9-million,Ngan Nguyen,Did the Arizona election audit cost taxpayers millions of dollars?,,,,Unknown social media user(s),Nonpolitical,,,,,,,"Voting/Elections, Economic Issues",Social Media,Article,Yes,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Arizona,Arizona Center for Investigative Reporting (Gigafact),11/4/2022,https://gigafact.org/fact-briefs/does-katie-hobbs-support-gender-affirming-surgery-for-minors,Austin Tannenbaum,Does Katie Hobbs support gender affirming surgery for minors?,,,,Kari Lake,Political,Politician,Republican,No,,Yes,Governor,"Individual Record, LGBTQ",Social Media,Article,Yes,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Arizona,Arizona Center for Investigative Reporting (Gigafact),11/7/2022,https://gigafact.org/fact-briefs/can-arizona-candidates-demand-a-recount-of-election-results,Ngan Nguyen,Can Arizona candidates demand a recount of election results?,,,,Unknown social media user(s),Nonpolitical,,,,,,,Voting/Elections,Social Media,Article,Yes,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
